"Root_ID"	"GRRoot"	"IERoot"	"OldRoot_ID"	"alpha"	"Def"	"Note"	"Phonetic"
468	"σιγή"		8420	"σιγη"	"silence"		
469	"σίδηρος"		8426	"σιδηρος"	"iron"		
470	"σιμός"		8444	"σιμος"	"snub-nosed"		
471	"σῖτος"		8452	"σιτος"	"food"		
472	"σκεδάννυ"		8460	"σκεδαννυ"	"scatter"		
473	"σκέλλ"		8464	"σκελλ"	"dry"		
474	"σκέπη"		8469	"σκεπη"	"covering"		
475	"σκευή"		8477	"σκευη"	"equipment"		
476	"σκήπτ"		8482	"σκηπτ"	"prop, stay"		
477	"σκιά"		8483	"σκια"	"shadow"		
478	"σκληρός"		8495	"σκληρος"	"hard"		
479	"σκοπός"		8505	"σκοπος"	"watch, look"		
480	"σκότος"		8512	"σκοτος"	"dark"		
481	"σκῦτος"		8523	"σκυτος"	"skin"		
482	"σκώπτ"		8530	"σκωπτ"	"mock"		
483	"σοφός"		8555	"σοφος"	"wise"		
484	"σπά"		8566	"σπα"	"draw, drag"		
